Input Sample,CT2,CT3,CT4,CT5,P-value,Pearson Correlation,RMSE
Mixed_1,0.39541194,0.172638836,0.194405207,0.237544018,0,0.926969977,0.417468107
Mixed_2,0.438003431,0.103177534,0.18676943,0.272049605,0,0.745223513,0.665602933
Mixed_3,0.300379644,0.300537342,0,0.399083013,0,0.792608102,0.609414859
Mixed_4,0.107743683,0.43815669,0.296389682,0.157709946,0,0.877944025,0.492695731
Mixed_5,0.338203741,0.343394748,0.122297584,0.196103927,0,0.922959115,0.417004434
Mixed_6,0.365159841,0.128990823,0.208659422,0.297189914,0,0.844309334,0.544611156
Mixed_7,0.422363185,0.200448629,0.149593906,0.227594281,0,0.881219221,0.488411098
Mixed_8,0.284944951,0.426191249,0.060851085,0.228012715,0,0.78710183,0.616128317
Mixed_9,0.126638075,0.460102114,0.131471159,0.281788652,0,0.751830762,0.659566909
Mixed_10,0.244750381,0.260805141,0.278976872,0.215467606,0,0.708225909,0.704639127
Mixed_11,0.327850606,0.10476598,0.15704866,0.410334754,0,0.60832532,0.808161555
Mixed_12,0.456315058,0.245626822,0.024262422,0.273795698,0,0.817349233,0.576105531
Mixed_13,0.163686101,0.357005635,0.142798125,0.336510139,0,0.783503669,0.620415799
Mixed_14,0.463793212,0.145332799,0.158031193,0.232842796,0,0.467195334,0.93033559
Mixed_15,0.140545299,0.322304584,0.274110365,0.263039751,0,0.912234014,0.445981493
Mixed_16,0.444746204,0.212137552,0.028390764,0.31472548,0,0.880637165,0.481186589
Mixed_17,0.248618496,0.194593839,0.434666436,0.122121229,0,0.697459461,0.715539187
Mixed_18,0.14244521,0.385121086,0.161866491,0.310567213,0,0.591562157,0.824385348
Mixed_19,0.278813278,0.183869277,0.420902156,0.116415289,0,0.852386312,0.544585305
Mixed_20,0.244443785,0.187940657,0.15375693,0.413858627,0,0.85634537,0.523636294
Mixed_21,0.211437063,0.616724066,0.00278589,0.169052981,0,0.764199165,0.651628288
Mixed_22,0.262935946,0.201243276,0.361749414,0.174071365,0,0.886447706,0.497679046
Mixed_23,0.316240609,0.177145657,0.150629061,0.355984673,0,0.383413518,0.993873932
Mixed_24,0.333249524,0.208084195,0.15168027,0.30698601,0,0.860515559,0.52035952
Mixed_25,0.402548028,0.073552062,0.142884914,0.381014996,0,0.823432079,0.568198234
Mixed_26,0.361217215,0.313733162,0.245074736,0.079974886,0,0.86932043,0.509412609
Mixed_27,0.230840275,0.236029489,0.055554928,0.477575308,0,0.39213133,1.006753844
Mixed_28,0.202233725,0.444086149,0.10028931,0.253390816,0,0.934841676,0.384346953
Mixed_29,0.206736441,0.357960405,0.040601492,0.394701663,0,0.855909373,0.51944011
Mixed_30,0.174803481,0.254283738,0.286959421,0.283953361,0,0.867541127,0.517274599
Mixed_31,0.412334876,0.360851009,0.092898677,0.133915438,0,0.832357655,0.556064796
Mixed_32,0.414347019,0.212390571,0.083916521,0.289345889,0,0.91367882,0.429538542
Mixed_33,0.445148404,0.188214783,0.113491041,0.253145772,0,0.8406928,0.545449435
Mixed_34,0.326848074,0.365081409,0.008734716,0.299335801,0,0.810330289,0.585749834
Mixed_35,0.505200179,0.036386743,0.225278534,0.233134544,0,0.843588018,0.541020474
Mixed_36,0.171262595,0.195218208,0.256605195,0.376914002,0,0.904004078,0.458016773
Mixed_37,0.249174478,0.173769865,0.297582687,0.27947297,0,0.633469914,0.776377814
Mixed_38,0.219348145,0.464604954,0.21974235,0.096304551,0,0.814498746,0.580711418
Mixed_39,0.302903102,0.165747409,0.335649004,0.195700485,0,0.701549723,0.711292789
Mixed_40,0.343157739,0.245208951,0.231480892,0.180152418,0,0.837020705,0.556585042
Mixed_41,0.409528361,0.352065018,0.100198588,0.138208034,0,0.886035964,0.475979052
Mixed_42,0.284994511,0.149259066,0.227796465,0.337949958,0,0.715329402,0.697663995
Mixed_43,0.374956422,0.23331569,0.151425058,0.24030283,0,0.843727163,0.544058118
Mixed_44,0.376471569,0.121680033,0.120846955,0.381001443,0,0.869008371,0.502800871
Mixed_45,0.534847047,0.154159916,0.140331216,0.17066182,0,0.826992187,0.563059393
Mixed_46,0.477764926,0.154432184,0.112779022,0.255023868,0,0.810973055,0.585163056
Mixed_47,0.432001484,0.199131113,0.085018066,0.283849338,0,0.871723181,0.498766691
Mixed_48,0.359512808,0.102070619,0.308936407,0.229480166,0,0.820377544,0.579664539
Mixed_49,0.17784592,0.29468276,0.331941886,0.195529434,0,0.887785777,0.49072868
Mixed_50,0.342689887,0.206869334,0.232579176,0.217861604,0,0.781350876,0.625162918
Mixed_51,0.199520221,0.325747804,0.251359807,0.223372168,0,0.506760407,0.889146823
Mixed_52,0.460752373,0.248242733,0.216309126,0.074695769,0,0.868936093,0.506517079
Mixed_53,0.157226483,0.382491101,0.277998575,0.182283841,0,0.785654937,0.619079337
Mixed_54,0.529592659,0.250970433,0.119485046,0.099951862,0,0.840401264,0.543665195
Mixed_55,0.375672081,0.332606905,0.139661331,0.152059683,0,0.869591333,0.504990192
Mixed_56,0.266579019,0.339125633,0.106924524,0.287370825,0,0.859093853,0.519469348
Mixed_57,0.445735188,0.132630219,0.171817092,0.249817502,0,0.85743744,0.523237211
Mixed_58,0.285475167,0.261098678,0.158466957,0.294959198,0,0.908111811,0.44792636
Mixed_59,0.588885465,0.109320685,0.070792613,0.231001236,0,0.879227351,0.480019478
Mixed_60,0.450871881,0.368228494,0.018711704,0.16218792,0,0.855290047,0.520684698
Mixed_61,0.604114901,0.184818299,0.126149172,0.084917629,0,0.9058303,0.434057333
Mixed_62,0.674787775,0.165075792,0.00210157,0.158034862,0,0.848896549,0.528467033
Mixed_63,0.705521149,0.088193785,0.106029746,0.100255319,0,0.916794069,0.403886007
Mixed_64,0.402583024,0.262682975,0.226821144,0.107912856,0,0.917191881,0.434348445
Mixed_65,0.118235615,0.268251457,0.055000652,0.558512276,0,0.793697766,0.609252117
Mixed_66,0.443049448,0.281022429,0.153244011,0.122684112,0,0.89834465,0.458959458
Mixed_67,0.075519793,0.266504236,0.483572351,0.174403619,0,0.92439354,0.439394197
Mixed_68,0.068897624,0.614047903,0.125524413,0.19153006,0,0.796530478,0.606030169
Mixed_69,0.362338167,0.40116058,0.106664081,0.129837172,0,0.843979902,0.539715843
Mixed_70,0.708200291,0.127824594,0.078425702,0.085549413,0,0.880630598,0.473906058
Mixed_71,0.239034353,0.259711611,0.24162685,0.259627187,0,0.745503198,0.665452361
Mixed_72,0.141967802,0.178849396,0.46268731,0.216495492,0,0.820417444,0.585387852
Mixed_73,0.312670245,0.441836693,0.135798302,0.109694761,0,0.866958661,0.505379838
Mixed_74,0.264875067,0.183694936,0.169009083,0.382420913,0,0.56319064,0.846436899
Mixed_75,0.29684487,0.188802007,0.259884909,0.254468213,0,0.7947255,0.610314215
Mixed_76,0.243412694,0.284561831,0.150416162,0.321609312,0,0.855869053,0.526312437
Mixed_77,0.383790032,0.18965801,0.042715343,0.383836615,0,0.736021066,0.678462822
Mixed_78,0.149709185,0.389223676,0.103434143,0.357632996,0,0.69842039,0.720386753
Mixed_79,0.632153475,0.116488064,0.108549591,0.14280887,0,0.832512427,0.553285939
Mixed_80,0.226973179,0.242539994,0.330283283,0.200203544,0,0.877938442,0.507240561
Mixed_81,0.22642716,0.247846673,0.080111868,0.445614299,0,0.8228169,0.568346102
Mixed_82,0.296470116,0.345683939,0.311576931,0.046269014,0,0.844682775,0.545028039
Mixed_83,0.321967711,0.222449877,0.055418162,0.40016425,0,0.887633657,0.470743265
Mixed_84,0.131308958,0.172487488,0.490982118,0.205221436,0,0.688207167,0.724704667
Mixed_85,0.169964133,0.458175773,0.117447556,0.254412538,0,0.808958199,0.587313204
Mixed_86,0.519342101,0.193930438,0.054719004,0.232008457,0,0.904278993,0.439982801
Mixed_87,0.376097838,0.30372217,0.211991301,0.108188691,0,0.855358015,0.528618096
Mixed_88,0.163407375,0.486426209,0.140272409,0.209894006,0,0.862740335,0.509958152
Mixed_89,0.385983278,0.159232368,0.110353032,0.344431321,0,0.873009979,0.497569054
Mixed_90,0.43688322,0.083831383,0.177947886,0.301337511,0,0.862107841,0.515376093
Mixed_91,0.439059284,0.331790623,0.017650143,0.211499951,0,0.945358122,0.358935613
Mixed_92,0.518611572,0.178376814,0.20178852,0.101223093,0,0.836386383,0.551267605
Mixed_93,0.448155281,0.275844246,0.173894305,0.102106168,0,0.749468189,0.660913836
Mixed_94,0.489071098,0.087211625,0.191443746,0.23227353,0,0.926381097,0.408743287
Mixed_95,0.39234245,0.281292552,0.056622507,0.269742491,0,0.867877258,0.504323328
Mixed_96,0.279060598,0.444750138,0.174004913,0.102184351,0,0.841903037,0.543200249
Mixed_97,0.317646634,0.073366009,0.429367286,0.179620071,0,0.864000081,0.529008029
Mixed_98,0.513737915,0.201054673,0.109847606,0.175359806,0,0.850697367,0.529384602
Mixed_99,0.216413342,0.176095027,0.249917051,0.357574581,0,0.92036836,0.432916309
Mixed_100,0.522941429,0.171036866,0.049024835,0.256996869,0,0.668541447,0.754299998
Mixed_101,0.347620059,0.22593771,0.225336304,0.201105928,0,0.841148839,0.551072742
Mixed_102,0.334213405,0.391029121,0.17000149,0.104755984,0,0.641203863,0.775517406
Mixed_103,0.307076704,0.320406197,0.033436348,0.339080751,0,0.875716795,0.490247319
Mixed_104,0.398667597,0.116270896,0.238991991,0.246069517,0,0.912888496,0.443799577
Mixed_105,0.234371712,0.256957845,0.150705513,0.357964931,0,0.864622324,0.512997678
Mixed_106,0.245284793,0.221061817,0.272174268,0.261479122,0,0.533582343,0.863867947
Mixed_107,0.360665201,0.314970453,0.125350838,0.199013509,0,0.841758462,0.545357479
Mixed_108,0.31639322,0.218128073,0.063369915,0.402108792,0,0.861738303,0.512372028
Mixed_109,0.265081935,0.21032657,0.182125537,0.342465958,0,0.626536652,0.78675161
Mixed_110,0.279534678,0.559664579,0.056289255,0.104511488,0,0.844519594,0.53548141
Mixed_111,0.50884666,0.103941059,0.335513943,0.051698338,0,0.890610671,0.473796003
Mixed_112,0.145131324,0.29743505,0.401919963,0.155513663,0,0.810606015,0.593215864
Mixed_113,0.214446178,0.074670116,0.307757457,0.403126249,0,0.831916492,0.562284686
Mixed_114,0.485993453,0.261591291,0.107981899,0.144433357,0,0.825844624,0.565078554
Mixed_115,0.395601416,0.30328547,0.182832501,0.118280614,0,0.757518454,0.651611485
Mixed_116,0.380082029,0.259847009,0.048403148,0.311667813,0,0.832938047,0.555135053
Mixed_117,0.224138097,0.266466647,0.057097302,0.452297954,0,0.862925559,0.508641767
Mixed_118,0.463460296,0.389807532,0.038641218,0.108090953,0,0.87331906,0.491664503
Mixed_119,0.415175974,0.170339144,0.130181513,0.284303369,0,0.866506411,0.50907916
Mixed_120,0.439805575,0.257531013,0.216340732,0.08632268,0,0.793742964,0.608500494
Mixed_121,0.538142591,0.107155249,0.075291644,0.279410515,0,0.917290841,0.413543151
Mixed_122,0.241014449,0.32618718,0.098995643,0.333802728,0,0.820322054,0.573095513
Mixed_123,0.276105517,0.168397227,0.384762212,0.170735044,0,0.834468455,0.566769407
Mixed_124,0.302676432,0.439592621,0.06555625,0.192174697,0,0.827684615,0.561892687
Mixed_125,0.347005993,0.232058063,0.307964566,0.112971378,0,0.697232961,0.715778894
Mixed_126,0.104248665,0.243824223,0.206161484,0.445765628,0,0.76616997,0.641383003
Mixed_127,0.145873623,0.335225372,0.237589297,0.281311708,0,0.464012004,0.926939344
Mixed_128,0.292127558,0.248536171,0.329866894,0.129469377,0,0.81070531,0.59261606
Mixed_129,0.167146437,0.15264561,0.439305766,0.240902187,0,0.75108762,0.661878535
Mixed_130,0.252287531,0.335495074,0.196580522,0.215636873,0,0.89376803,0.472695564
Mixed_131,0.541433948,0.314899735,0,0.143666317,0,0.858495216,0.514292435
Mixed_132,0.588294266,0.31237839,0.01890563,0.080421713,0,0.834980703,0.550083245
Mixed_133,0.267693605,0.279872505,0.124588881,0.327845009,0,0.746491838,0.664368288
Mixed_134,0.27740639,0.575367197,0.045530755,0.101695658,0,0.849933679,0.526903477
Mixed_135,0.314005902,0.170646267,0.025883639,0.489464193,0,0.813524146,0.580899355
