!Gene_Label	CT2	CT3	CT4	CT5
Gene_1	613.603183515032	188.025536319662	158.33777473634	160.172799233973
Gene_2	33.4832328343826	26.6476611681626	15.3248941666081	11.6978537368048
Gene_3	6845.19898663682	1435.70968472049	2831.19352617296	817.104148806129
Gene_4	150.256898417452	19.3631101277809	53.2841097108936	33.1850724166982
Gene_5	47.4318287026177	20.1041398674607	14.9546685051962	14.0168448516652
Gene_6	302.947693021428	473.98840550848	345.82244412263	155.484716966807
Gene_7	398.63754611507	127.56811478411	223.428816206008	390.394501974957
Gene_8	82.8784543409897	45.1302901711259	24.9389711811409	30.1711002695402
Gene_9	78.3298748873179	23.9822794427371	46.4633046279329	66.392550730897
Gene_10	615.745592822973	107.701967844805	190.609364256151	161.854348603061
Gene_11	262.465254645427	117.954643767728	302.076765079941	158.640939486712
Gene_12	33.4600136704968	9.71944617585638	35.0266828952697	50.9366392455182
Gene_13	64.2874112467388	23.025589873551	13.9397691306011	16.0298628809732
Gene_14	7810.50999093976	3134.18713280126	2422.81866637873	1798.57636199435
Gene_15	519.532178331027	84.5433614071136	82.6702917802437	110.77014313398
Gene_16	2859.65193281075	2349.18612885891	1837.26664825901	2642.12309218889
Gene_17	672.143380447942	75.1084225312043	115.137717887728	72.4916945780112
Gene_18	761.607740494366	171.81081323707	347.087395430261	49.9026442259816
Gene_19	286.521786447275	74.5939115158205	107.657384131507	512.867674931157
Gene_20	649.115227897886	123.69217326674	300.140317625649	335.664621938308
Gene_21	95.2158561030288	58.2816959610882	22.1963565583867	63.3722656911031
Gene_22	2180.15459947477	1344.82408603735	1418.53888617312	3301.93921840336
Gene_23	1073.86803722073	143.093671793144	108.303610103372	279.442939903916
Gene_24	152.970971737939	18.8052901204516	33.1097048590378	22.7053369798564
Gene_25	464.962564840027	146.566311437554	99.7005800818462	369.498803809219
Gene_26	452.790430874268	233.756271470728	104.189786014093	206.063737162268
Gene_27	339.276005863654	126.000363298858	285.141525156354	63.7064784426629
Gene_28	1128.94336409615	70.3624059054704	161.108329487275	182.013965041805
Gene_29	145.773884458631	10.0366223170686	18.9787335654863	11.3618739990796
Gene_30	818.346988120949	380.483065336562	150.849689077974	325.11529373758
Gene_31	4645.45344574133	557.325477698178	475.946935721867	752.94253098575
Gene_32	2268.02631697166	2473.36361556266	845.682246145372	621.235294744203
Gene_33	118.31025136655	15.7188055735803	12.137604390714	15.0438943267539
Gene_34	46.8509695494595	59.5497541169915	12.7414159460834	28.0270114648579
Gene_35	110.897743403556	38.6128797848994	14.5552032905663	27.2253021591869
Gene_36	69.2415214283407	20.4233918163665	24.4611126128567	50.9401019656131
