!Gene_Label	CT2	CT3	CT4	CT5
Gene_1	167.023561934674	47.4417649042653	35.5226942131195	30.3707675486035
Gene_2	168.393820251916	59.7193756477673	30.1091559064591	32.5562665266896
Gene_3	3501.85920856924	2368.05302311308	1450.26902620021	949.045521015714
Gene_4	3223.49267947866	1018.00378239337	2120.54660615039	590.398130244584
Gene_5	149.427290871662	90.0896239968949	14.0916776405277	49.9124223504279
Gene_6	49.3959045648763	51.9848061716288	8.80388384999353	69.7988641788493
Gene_7	5085.85061788474	1753.94858367973	1447.9988065986	2022.24951790442
Gene_8	45.5509649792558	30.7990287127125	25.8298908842948	13.9977590701581
Gene_9	985.102489957494	407.178327729335	357.416186557766	259.88154608612
Gene_10	471.683563360253	58.8986951066622	241.001193040529	113.418984672682
Gene_11	1105.32210535015	170.168466913883	304.115693792541	240.288346428915
Gene_12	758.71697750492	409.679285811452	716.594810399835	182.320131436388
Gene_13	149.874160541194	66.6086190623085	25.6631734573638	16.7110084597719
Gene_14	3328.34914794583	601.189155425975	790.861975901488	2517.35840846417
Gene_15	5286.95074861685	1164.8469891491	1070.69827368203	835.713982308861
Gene_16	1928.74055893872	1491.36759785442	732.787040088626	521.942517504383
Gene_17	2570.16904016994	835.621649352535	2427.91780155524	514.40774084037
Gene_18	746.667922967547	201.716606277071	124.753377337484	177.86822229434
Gene_19	2536.23190697173	1656.43508628414	466.780724524318	2558.04483787967
Gene_20	85.235047382413	69.165246157657	20.790797868224	22.6794314690689
Gene_21	3438.40160473033	628.847758696074	1379.84474232554	823.492580265285
Gene_22	170.134034305372	16.6474914846579	12.9177714341801	16.7567309913504
Gene_23	318.552684234505	73.3127820395263	125.158287559806	88.944027421739
Gene_24	49.2042588314917	10.2394216983925	26.3488304041595	10.2318641703596
Gene_25	147.109320416546	29.2088020642718	19.0682937089927	28.1342834051354
Gene_26	3013.7694673856	1378.5836927229	1049.66989265143	539.178579989554
Gene_27	377.349001937947	148.527303927396	215.685501813014	382.279873387446
Gene_28	153.558316837455	18.5057701294862	17.5828516073461	15.715787695979
Gene_29	314.391082943066	430.909065125044	76.5578039220151	79.1755171256903
Gene_30	86.411874046787	9.98011753084892	13.6815050105128	14.9246916132285
Gene_31	130.386541189013	35.7977674670232	21.2094356778924	56.0213536459307
Gene_32	1160.74906665876	167.357955965788	352.965950523705	153.78413926833
Gene_33	8441.49071617548	1780.49421761601	1011.81226660701	2211.23676942015
