Input Sample,CT2,CT3,CT4,CT5,P-value,Pearson Correlation,RMSE
Mixed_1,0.523430972,0.259433252,0.100100696,0.11703508,0,0.951506312,0.361739345
Mixed_2,0.33621768,0.2964824,0.1758918,0.19140812,0,0.951915916,0.383477969
Mixed_3,0.3738474,0.284101334,0.328475684,0.013575582,0,0.95645406,0.354818077
Mixed_4,0.609373501,0.164341029,0.025779003,0.200506467,0,0.933139991,0.391368264
Mixed_5,0.182735059,0.285998866,0.273370093,0.257895983,0,0.952829794,0.388770837
Mixed_6,0.605250778,0.267289157,0.040553304,0.086906761,0,0.940157099,0.370707549
Mixed_7,0.124604046,0.01149255,0.366507196,0.497396208,0,0.934068181,0.400281873
Mixed_8,0.578931201,0.169645945,0.098343415,0.153079439,0,0.931418901,0.399443698
Mixed_9,0.391999449,0.261619147,0.16034466,0.186036744,0,0.956962254,0.37179842
Mixed_10,0.266809753,0.428231115,0.097803375,0.207155757,0,0.958701593,0.352180867
Mixed_11,0.398377295,0.349435695,0,0.25218701,0,0.968451775,0.328924346
Mixed_12,0.591875394,0.051604962,0.135301629,0.221218015,0,0.906390935,0.443541466
Mixed_13,0.546657501,0.137387028,0.057185236,0.258770236,0,0.937197644,0.392998262
Mixed_14,0.495797302,0.240685934,0.097125862,0.166390901,0,0.931048766,0.408264064
Mixed_15,0.439784016,0.209375075,0.243189443,0.107651465,0,0.947244977,0.383583357
Mixed_16,0.312788786,0.32720336,0.010378641,0.349629212,0,0.959429755,0.354973881
Mixed_17,0.345454364,0.287888422,0.100541542,0.266115672,0,0.948649442,0.38798653
Mixed_18,0.23521657,0.35418895,0.142158535,0.268435945,0,0.947360679,0.389138806
Mixed_19,0.401205494,0.259671366,0.223018614,0.116104526,0,0.933877082,0.410407506
Mixed_20,0.136551691,0.302937488,0.297208182,0.263302639,0,0.955219169,0.381312799
Mixed_21,0.41120267,0.015193342,0.13330266,0.440301328,0,0.931526644,0.406235366
Mixed_22,0.252889056,0.35355292,0.009226496,0.384331529,0,0.953969095,0.362183235
Mixed_23,0.608260002,0.277630395,0.060445808,0.053663794,0,0.925295291,0.399152715
Mixed_24,0.416985993,0.145385064,0.161923626,0.275705317,0,0.924303318,0.432346798
Mixed_25,0.376391673,0.385400282,0.152446883,0.085761162,0,0.944008346,0.378887295
Mixed_26,0.333574399,0.284512171,0.282287565,0.099625865,0,0.958975307,0.364687098
Mixed_27,0.465865832,0.235727451,0.174761437,0.12364528,0,0.952382774,0.370858997
Mixed_28,0.55901292,0.111230546,0.016131302,0.313625232,0,0.949181003,0.364052104
Mixed_29,0.417357219,0.321223621,0.066486826,0.194932334,0,0.940401506,0.392511333
Mixed_30,0.26719767,0.426259486,0.211740532,0.094802312,0,0.949756456,0.368597847
Mixed_31,0.497488093,0.354584401,0.067710751,0.080216755,0,0.92296194,0.410664388
Mixed_32,0.681571094,0.084508531,0.034633948,0.199286427,0,0.8630947,0.507758689
Mixed_33,0.382152503,0.216234573,0.221012698,0.180600226,0,0.890952888,0.485311001
Mixed_34,0.520164954,0.222152649,0.014736585,0.242945812,0,0.922468576,0.419989395
Mixed_35,0.391660062,0.110978756,0.252978157,0.244383025,0,0.96152358,0.367731377
Mixed_36,0.317463864,0.216170505,0.232770843,0.233594788,0,0.947767122,0.399160449
Mixed_37,0.220602299,0.116099882,0.018532775,0.644765044,0,0.90424517,0.440075727
Mixed_38,0.533142481,0.172687289,0.12428002,0.169890209,0,0.933380884,0.40248296
Mixed_39,0.205423223,0.066052179,0.119182611,0.609341986,0,0.936340804,0.386124807
Mixed_40,0.519875302,0.283428375,0.174009024,0.022687299,0,0.923174347,0.410943361
Mixed_41,0.380160895,0.146265728,0.20895622,0.264617157,0,0.949651763,0.392272991
Mixed_42,0.408537517,0.201476977,0.100566276,0.28941923,0,0.942770232,0.39856155
Mixed_43,0.379649697,0.330394714,0.03071883,0.259236759,0,0.950751549,0.372999215
Mixed_44,0.25946057,0.264263526,0.286890728,0.189385175,0,0.958355213,0.377911406
Mixed_45,0.540246642,0.113255305,0.207979348,0.138518705,0,0.912441259,0.438011257
Mixed_46,0.410968775,0.334416332,0.047776514,0.206838379,0,0.923964023,0.421072456
Mixed_47,0.449682018,0.241209758,0.203848722,0.105259502,0,0.923711697,0.424301812
Mixed_48,0.580919624,0.198102141,0.06648908,0.154489155,0,0.887388452,0.475144759
Mixed_49,0.769252756,0.069743946,0.009091429,0.15191187,0,0.924800007,0.388805471
Mixed_50,0.576441257,0.07834293,0.232361178,0.112854636,0,0.939411482,0.381513871
Mixed_51,0.328100361,0.37752537,0.2127334,0.08164087,0,0.945761176,0.37985544
Mixed_52,0.317025456,0.189341501,0.062403845,0.431229198,0,0.954171304,0.372398138
Mixed_53,0.372254868,0.300468509,0.132591247,0.194685377,0,0.953928636,0.375474687
Mixed_54,0.338161124,0.341642053,0.031598011,0.288598813,0,0.950776942,0.373911362
Mixed_55,0.472215612,0.26225598,0.041892146,0.223636261,0,0.941714648,0.388741136
Mixed_56,0.437801348,0.397197839,0.095069691,0.069931122,0,0.956195472,0.343531694
Mixed_57,0.312029223,0.056955107,0.034287405,0.596728265,0,0.947444956,0.359444698
Mixed_58,0.265311003,0.398859367,0.048986694,0.286842937,0,0.94245761,0.386586811
Mixed_59,0.672255942,0.033047938,0.121503415,0.173192705,0,0.944628852,0.358021656
Mixed_60,0.390063134,0.214056749,0.1787092,0.217170918,0,0.935084201,0.415592268
Mixed_61,0.515208329,0.089103114,0.304874569,0.090813988,0,0.920774389,0.421200087
Mixed_62,0.640398594,0.264612123,0.041714307,0.053274977,0,0.939302182,0.366517534
Mixed_63,0.179593059,0.399955958,0.1649514,0.255499583,0,0.948124816,0.382122498
Mixed_64,0.534527814,0.085598707,0.206115141,0.173758337,0,0.920831875,0.424635592
Mixed_65,0.172024727,0.322448674,0.108774257,0.396752342,0,0.96093995,0.358053643
Mixed_66,0.613820597,0.289822192,0.023327326,0.073029885,0,0.937637893,0.372485873
Mixed_67,0.129558384,0.523026992,0.216164691,0.131249933,0,0.92954329,0.396351083
Mixed_68,0.440264938,0.336371405,0.106663905,0.116699752,0,0.933618983,0.400191238
Mixed_69,0.488204944,0.027738899,0.028510572,0.455545585,0,0.950127053,0.358158237
Mixed_70,0.733311643,0.109595029,0.044500029,0.112593299,0,0.920916326,0.400394919
Mixed_71,0.684060929,0.158941649,0.008512109,0.148485313,0,0.936333096,0.373640499
Mixed_72,0.513563971,0.18505693,0.190781417,0.110597683,0,0.901039394,0.458494172
Mixed_73,0.724410179,0.148393891,0.058478657,0.068717272,0,0.925848985,0.389843735
Mixed_74,0.149959492,0.400919856,0.135194501,0.313926151,0,0.927460432,0.41729382
Mixed_75,0.277701358,0.228515836,0.327268009,0.166514797,0,0.949572013,0.392937391
Mixed_76,0.581446327,0.064095855,0.184637916,0.169819902,0,0.914658845,0.429837213
Mixed_77,0.464351149,0.096076702,0.425569844,0.014002305,0,0.920441663,0.415804918
Mixed_78,0.301497631,0.474593604,0.043346037,0.180562728,0,0.922835733,0.41206023
Mixed_79,0.616115292,0.177697923,0.157325951,0.048860834,0,0.929049,0.394731638
Mixed_80,0.534878827,0.103378951,0.025934069,0.335808153,0,0.949036183,0.367083212
Mixed_81,0.57051483,0.105448563,0.028365159,0.295671448,0,0.942727835,0.376822678
Mixed_82,0.224019291,0.143379631,0.31831443,0.314286648,0,0.95512862,0.387459825
Mixed_83,0.170594146,0.039952477,0.165134581,0.624318797,0,0.943279495,0.369305169
Mixed_84,0.289366525,0.318125184,0.158700232,0.233808059,0,0.955335174,0.377841884
Mixed_85,0.490405508,0.212155502,0.084788655,0.212650335,0,0.945213254,0.384446332
Mixed_86,0.183875858,0.063774419,0.096481981,0.655867742,0,0.949019991,0.350840238
Mixed_87,0.280080752,0.167030846,0.167529562,0.38535884,0,0.940915115,0.407828823
Mixed_88,0.475713619,0.125299957,0.2280334,0.170953024,0,0.927316893,0.420255649
Mixed_89,0.532737705,0.136785904,0.032185045,0.298291345,0,0.944738053,0.378256806
Mixed_90,0.472055136,0.225389255,0.237653684,0.064901925,0,0.942034688,0.385853848
Mixed_91,0.397868599,0.148892836,0.110003808,0.343234757,0,0.958697799,0.368625977
Mixed_92,0.376085851,0.250444517,0.190478235,0.182991398,0,0.937293972,0.410400953
Mixed_93,0.466412117,0.309833897,0.031354594,0.192399392,0,0.939905504,0.388098885
Mixed_94,0.549860546,0.164159315,0.149034667,0.136945471,0,0.956617179,0.353017063
Mixed_95,0.239358905,0.407631957,0,0.353009138,0,0.962295856,0.337887465
Mixed_96,0.210852018,0.327465956,0.145444031,0.316237996,0,0.953310949,0.380340353
Mixed_97,0.56031743,0.094030421,0.117150199,0.22850195,0,0.930932368,0.404150883
Mixed_98,0.293144636,0.504507419,0.003070546,0.199277399,0,0.935922039,0.380840191
Mixed_99,0.34772472,0.303317114,0.108625695,0.240332471,0,0.95557558,0.373716273
Mixed_100,0.534083411,0.285792766,0.092637223,0.0874866,0,0.940691788,0.378729108
Mixed_101,0.488696852,0.197995489,0.2105541,0.102753559,0,0.937575782,0.396616643
Mixed_102,0.397503369,0.252772185,0.076864955,0.272859491,0,0.930871255,0.417482655
Mixed_103,0.45267716,0.066849638,0.345580929,0.134892273,0,0.945941863,0.380995406
Mixed_104,0.33732166,0.313005632,0.266391019,0.083281688,0,0.940807984,0.395552035
Mixed_105,0.418919682,0.25326826,0.110930337,0.216881721,0,0.933137459,0.413104667
Mixed_106,0.357760535,0.163542072,0.049120311,0.429577082,0,0.954637012,0.368819498
Mixed_107,0.510292117,0.195279101,0.253779154,0.040649628,0,0.942488636,0.378841884
Mixed_108,0.157238929,0.525932281,0.115063622,0.201765168,0,0.948609694,0.356725726
Mixed_109,0.278348382,0.29189765,0.103841596,0.325912373,0,0.950985701,0.384952701
Mixed_110,0.245090253,0.317990573,0.163392355,0.273526818,0,0.947555319,0.393632459
Mixed_111,0.448199553,0.285782171,0.023307182,0.242711094,0,0.94762024,0.377036307
Mixed_112,0.396089814,0.363729096,0.102904834,0.137276256,0,0.94133273,0.38724664
Mixed_113,0.736304823,0.122388885,0.030964586,0.110341706,0,0.734979829,0.683052712
Mixed_114,0.357887282,0.390749654,0.045959471,0.205403593,0,0.939898156,0.388913975
Mixed_115,0.511007862,0.226522584,0.168964289,0.093505266,0,0.945829722,0.376351021
Mixed_116,0.202688635,0.1504099,0.344155843,0.302745622,0,0.93647948,0.419471489
Mixed_117,0.443801342,0.327461782,0.045511571,0.183225306,0,0.971292669,0.323171062
Mixed_118,0.359144606,0.367619908,0.208494748,0.064740739,0,0.951557405,0.365989424
Mixed_119,0.282732027,0.324736553,0.173808065,0.218723355,0,0.946023791,0.394818346
Mixed_120,0.213781772,0.201892814,0.313065709,0.271259705,0,0.941747666,0.411976742
Mixed_121,0.317256397,0.405206993,0.006981045,0.270555565,0,0.928018419,0.409102142
Mixed_122,0.596657703,0.060678817,0.123738686,0.218924794,0,0.941250304,0.3782146
Mixed_123,0.433464477,0.189718085,0.240434245,0.136383193,0,0.941383334,0.397779954
Mixed_124,0.354941336,0.283547543,0.164667837,0.196843284,0,0.950316388,0.386275546
Mixed_125,0.247992309,0.140321792,0.004474573,0.607211326,0,0.948645369,0.356674526
Mixed_126,0.319081204,0.374284476,0.170117352,0.136516968,0,0.967946216,0.339124644
Mixed_127,0.418042115,0.319680684,0.102390042,0.159887159,0,0.95338039,0.367750343
Mixed_128,0.483773512,0.277395087,0.180796361,0.05803504,0,0.942859357,0.379862517
Mixed_129,0.690100222,0.195430695,0.009100383,0.105368701,0,0.956111292,0.324851039
Mixed_130,0.54166555,0.252684294,0.130547142,0.075103014,0,0.943828578,0.373369168
Mixed_131,0.435423031,0.346089236,0.047732836,0.170754896,0,0.947397054,0.372948695
Mixed_132,0.508295489,0.183861939,0.082967024,0.224875549,0,0.934631305,0.403050792
Mixed_133,0.278174497,0.234639,0.180203693,0.30698281,0,0.947827187,0.398698028
Mixed_134,0.461529458,0.308670876,0.058364077,0.17143559,0,0.923960474,0.418963724
Mixed_135,0.707916659,0.077753525,0.177315348,0.037014468,0,0.887565805,0.463877321
